epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2486,0.83824,4.35261,1.04231,0.58239,0.17686,0.15783,0.12835,0.75773,1.7401,0.99372,5.29e-05,5.29e-05,5.29e-05
2,44.1965,0.71518,1.86929,0.96722,0.76778,0.3117,0.37846,0.30889,0.70311,1.12722,0.96599,0.000105512,0.000105512,0.000105512
3,63.4195,0.69325,1.33883,0.96806,0.56331,0.4889,0.50295,0.39973,0.70541,1.03784,0.96815,0.000157061,0.000157061,0.000157061
4,82.5084,0.71817,1.12022,0.97558,0.72134,0.55101,0.60917,0.4883,0.70855,0.90058,0.97732,0.000156218,0.000156218,0.000156218
5,101.897,0.683,0.96571,0.96288,0.60257,0.66574,0.70018,0.55991,0.68555,0.80481,0.96063,0.000154624,0.000154624,0.000154624
6,121.517,0.68551,0.85037,0.95757,0.72778,0.62801,0.71752,0.58179,0.68368,0.73209,0.96933,0.000153031,0.000153031,0.000153031
7,141.224,0.67614,0.77646,0.96604,0.76257,0.6285,0.73653,0.58539,0.67809,0.68804,0.96739,0.000151437,0.000151437,0.000151437
8,160.767,0.67494,0.71902,0.9483,0.75052,0.71297,0.78289,0.63265,0.6585,0.61573,0.95094,0.000149843,0.000149843,0.000149843
9,179.94,0.6519,0.673,0.95074,0.80917,0.71433,0.76906,0.62992,0.67029,0.63762,0.96225,0.000148249,0.000148249,0.000148249
10,199.084,0.65459,0.67414,0.95951,0.7539,0.73148,0.81109,0.66341,0.65421,0.58432,0.95055,0.000146655,0.000146655,0.000146655
11,218.202,0.64423,0.60914,0.94949,0.71932,0.79395,0.78842,0.64471,0.65231,0.57101,0.95118,0.000145061,0.000145061,0.000145061
12,237.248,0.63705,0.58217,0.93818,0.77027,0.7699,0.79459,0.6461,0.65804,0.55,0.95243,0.000143467,0.000143467,0.000143467
13,256.27,0.62388,0.58325,0.93633,0.77625,0.77646,0.81437,0.6673,0.64941,0.54897,0.94903,0.000141873,0.000141873,0.000141873
14,275.255,0.6184,0.55803,0.92844,0.78868,0.78696,0.81052,0.66222,0.65061,0.54356,0.95463,0.000140279,0.000140279,0.000140279
15,294.624,0.61388,0.55241,0.93246,0.79697,0.77578,0.82265,0.66989,0.64802,0.52907,0.9556,0.000138685,0.000138685,0.000138685
16,313.746,0.60739,0.51778,0.9306,0.77645,0.79803,0.82985,0.6749,0.64712,0.51735,0.94894,0.000137092,0.000137092,0.000137092
